id,path,title,cv_count,etype,volume
0,,,0,start,
1,,,0,end,
2,ec-concier.com/pricing/,料金プラン | 無料Web接客ツール『ecコンシェル』,57,pageview,57
3,ec-concier.com/case/,導入事例 | 無料Web接客ツール『ecコンシェル』,25,pageview,25
4,ec-concier.com/comic/,【漫画で分かるWeb接客】Webサイトの売上アップを、知識ゼロ・手間暇ゼロ・無料でなんてできるはずない……え? あるの!?｜ecコンシェル | 無料Web接客ツール『ecコンシェル』,14,pageview,14
5,ec-concier.com/sites/4649/banners/new,ec-CONCIER,8,pageview,8
6,ec-concier.com/case/user3/,オークローンマーケティング様のWeb接客導入事例～使いやすく細かいセグメントにも対応～ | 無料Web接客ツール『ecコンシェル』,3,pageview,3
7,ec-concier.com/clients/sign_in/,ログイン | 無料Web接客ツール『ecコンシェル』,2,pageview,259
8,ec-concier.com/sites/4702/banners/new,ec-CONCIER,2,pageview,2
9,ec-concier.com/,無料Web接客ツール『ecコンシェル』-導入社数No.1- | NTTドコモ,1,pageview,250
10,ec-concier.com/service/step/,導入ステップ | 無料Web接客ツール『ecコンシェル』,1,pageview,7
11,ec-concier.com/sites/50/banners/new,ec-CONCIER,1,pageview,1
12,ec-concier.com/case/user2/,タワーレコード様のWeb接客導入事例～少ない運用負担でCVRが約２倍～ | 無料Web接客ツール『ecコンシェル』,1,pageview,1
13,ec-concier.com/sites/4365/banners/new,ec-CONCIER,1,pageview,1
14,ec-concier.com/case/user5/,オーガニックサイバーストア様のWeb接客導入事例～わかりやすい設定でコンバージョン改善～ | 無料Web接客ツール『ecコンシェル』,1,pageview,1
15,ec-concier.com/example/,接客シナリオ例 | 無料Web接客ツール『ecコンシェル』,0,pageview,60
16,ec-concier.com/sites/4152/campaigns,ec-CONCIER,0,pageview,53
17,ec-concier.com/sites/19/campaigns,ec-CONCIER,0,pageview,43
18,ec-concier.com/sites/4783/campaigns,ec-CONCIER,0,pageview,34
19,ec-concier.com/service/,機能と使い方 | 無料Web接客ツール『ecコンシェル』,0,pageview,33
20,ec-concier.com/sites/4649/campaigns,ec-CONCIER,0,pageview,27
21,ec-concier.com/sites/4760/campaigns,ec-CONCIER,0,pageview,20
22,ec-concier.com/sites/4152/kpi_dashboard/basics,ec-CONCIER,0,pageview,19
23,ec-concier.com/sites/4637/campaigns,ec-CONCIER,0,pageview,18
24,ec-concier.com/sites/50/kpi_dashboard/basics,ec-CONCIER,0,pageview,15
25,ec-concier.com/sites/4365/kpi_dashboard/basics,ec-CONCIER,0,pageview,14
26,ec-concier.com/sites/4850/campaigns,ec-CONCIER,0,pageview,14
27,ec-concier.com/contact/,お問合せ | 無料Web接客ツール『ecコンシェル』,0,pageview,12
28,ec-concier.com/plan/upgrade,ec-CONCIER,0,pageview,12
29,ec-concier.com/sites/4760/kpi_dashboard/basics,ec-CONCIER,0,pageview,12
30,ec-concier.com/sites/4365/campaigns,ec-CONCIER,0,pageview,11
31,ec-concier.com/sites/3106/campaigns,ec-CONCIER,0,pageview,10
32,ec-concier.com/sites/1799/kpi_dashboard/basics,ec-CONCIER,0,pageview,10
33,ec-concier.com/service/lpo/,LPOとウェブ接客の違い | 無料Web接客ツール『ecコンシェル』,0,pageview,9
34,ec-concier.com/sites/4304/campaigns,ec-CONCIER,0,pageview,9
35,ec-concier.com/sites/4829/campaigns,ec-CONCIER,0,pageview,9
36,ec-concier.com/sites/3815/campaigns,ec-CONCIER,0,pageview,9
37,ec-concier.com/material_dl/,Web接客の事例・ノウハウ資料をダウンロード | 無料Web接客ツール『ecコンシェル』,0,pageview,8
38,ec-concier.com/sites/4798/campaigns,ec-CONCIER,0,pageview,8
39,ec-concier.com/service/autocreative/,オートクリエイティブ | 無料Web接客ツール『ecコンシェル』,0,pageview,8
40,ec-concier.com/sites/4829/campaigns/10101,ec-CONCIER,0,pageview,7
41,ec-concier.com/sites/4152/images,ご指定のページが見つかりません | 無料Web接客ツール「ecコンシェル」,0,pageview,7
42,ec-concier.com/service/efo/,EFOとウェブ接客の違い | 無料Web接客ツール『ecコンシェル』,0,pageview,7
43,ec-concier.com/sites/4365/campaigns/new,ec-CONCIER,0,pageview,7
44,ec-concier.com/sites/1339/campaigns,ec-CONCIER,0,pageview,7
45,ec-concier.com/sites/4850/kpi_dashboard/basics,ec-CONCIER,0,pageview,6
46,ec-concier.com/sites/4736/campaigns,ec-CONCIER,0,pageview,6
47,ec-concier.com/sites/2404/campaigns,ec-CONCIER,0,pageview,6
48,ec-concier.com/sites/4864/campaigns,ec-CONCIER,0,pageview,6
49,ec-concier.com/sites/3815/campaigns/10087,ec-CONCIER,0,pageview,6
50,ec-concier.com/sites/3714/campaigns,ec-CONCIER,0,pageview,6
51,ec-concier.com/sites/1339/campaigns/9737,ec-CONCIER,0,pageview,6
52,ec-concier.com/sites/4828/campaigns,ec-CONCIER,0,pageview,6
53,ec-concier.com/sites/4637/campaigns/10084,ec-CONCIER,0,pageview,5
54,ec-concier.com/sites/4702/campaigns/new,ec-CONCIER,0,pageview,5
55,ec-concier.com/sites/4850/campaigns/10046,ec-CONCIER,0,pageview,5
56,ec-concier.com/sites/50/campaigns/new,ec-CONCIER,0,pageview,5
57,ec-concier.com/sites/4850/campaigns/10077,ec-CONCIER,0,pageview,5
58,ec-concier.com/sites/4686/campaigns,ec-CONCIER,0,pageview,5
59,ec-concier.com/sites/4793/kpi_dashboard/basics,ec-CONCIER,0,pageview,5
60,ec-concier.com/sites/4702/kpi_dashboard/basics,ec-CONCIER,0,pageview,5
61,ec-concier.com/sites/2477/kpi_dashboard/basics,ec-CONCIER,0,pageview,5
62,ec-concier.com/info,ec-CONCIER,0,pageview,5
63,ec-concier.com/integrations/,対応サービス一覧 | 無料Web接客ツール『ecコンシェル』,0,pageview,5
64,ec-concier.com/sites/4727/campaigns,ec-CONCIER,0,pageview,4
65,ec-concier.com/sites/2965/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
66,ec-concier.com/sites/4637/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
67,ec-concier.com/example/case4/,2回以上訪問のお客様を初回購入へつなげる（接客シナリオ4） | 無料Web接客ツール『ecコンシェル』,0,pageview,4
68,ec-concier.com/sites/3263/campaigns/new,ec-CONCIER,0,pageview,4
