source,target,volume
0,9,172
0,7,160
9,1,104
7,7,48
7,1,41
9,7,37
9,2,27
16,16,24
9,9,21
2,1,19
9,15,18
17,17,17
20,20,15
2,9,12
23,23,11
22,16,10
15,3,10
16,1,9
9,19,9
32,32,9
7,24,8
29,1,8
15,1,8
21,21,8
15,19,8
7,9,8
0,2,7
0,29,7
4,1,6
3,15,6
2,19,6
0,15,6
0,4,6
40,35,6
7,47,6
21,1,6
7,26,6
19,1,6
7,31,6
4,9,6
15,9,5
30,30,5
28,21,5
0,22,5
5,5,5
26,43,5
53,25,5
9,4,5
62,23,5
27,1,5
19,2,5
25,53,5
49,49,4
28,1,4
60,1,4
47,25,4
19,19,4
2,3,4
68,55,4
39,39,4
7,22,4
24,60,4
2,2,4
73,1,4
35,40,4
86,9,4
72,1,4
46,44,4
31,1,4
24,1,4
43,30,4
0,72,4
50,1,4
42,22,4
19,15,4
26,1,4
0,73,4
19,9,4
76,76,3
7,21,3
63,1,3
2,15,3
67,1,3
109,7,3
7,54,3
5,20,3
38,10,3
113,17,3
44,46,3
2,37,3
51,51,3
79,79,3
48,122,3
28,28,3
36,36,3
70,20,3
37,15,3
20,1,3
26,26,3
90,1,3
57,57,3
87,87,3
18,18,3
52,36,3
7,61,3
19,38,3
23,71,3
0,86,3
9,3,3
25,25,3
7,65,3
7,109,3
44,1,3
39,1,3
33,41,3
27,103,3
101,92,3
0,21,3
7,27,3
65,1,3
17,1,3
92,77,3
35,1,3
33,15,3
45,84,3
69,1,3
110,101,3
7,168,2
116,1,2
7,147,2
18,158,2
167,1,2
10,15,2
9,38,2
74,15,2
83,83,2
0,24,2
84,129,2
7,179,2
7,36,2
152,131,2
36,177,2
140,39,2
78,78,2
162,1,2
111,1,2
3,19,2
48,96,2
29,9,2
7,75,2
34,34,2
15,2,2
15,114,2
47,1,2
55,24,2
7,85,2
43,1,2
3,1,2
0,70,2
61,182,2
155,16,2
19,3,2
147,50,2
99,99,2
22,22,2
119,119,2
163,1,2
7,167,2
42,42,2
15,174,2
41,9,2
85,1,2
7,113,2
25,63,2
56,15,2
16,171,2
7,141,2
7,112,2
121,121,2
61,97,2
15,15,2
3,6,2
41,1,2
103,49,2
122,1,2
7,140,2
3,3,2
181,25,2
161,1,2
159,161,2
24,24,2
21,175,2
2,29,2
52,1,2
7,91,2
77,1,2
59,59,2
7,135,2
158,18,2
7,66,2
31,64,2
7,110,2
7,159,2
118,20,2
27,28,2
95,69,2
23,62,2
54,1,2
7,98,2
149,1,2
117,1,2
18,128,2
107,82,2
15,93,2
3,9,2
96,48,2
91,1,2
127,44,2
35,35,2
15,74,2
164,1,2
51,166,2
25,1,2
17,138,2
180,176,2
0,173,2
3,56,2
0,90,2
20,5,2
7,46,2
7,144,2
7,28,2
34,145,2
179,88,2
7,116,2
50,50,2
22,42,2
15,33,2
144,69,2
7,95,2
97,1,2
75,1,2
63,63,2
81,81,2
24,68,2
34,1,2
7,111,2
41,160,2
25,181,2
183,149,2
169,17,2
105,34,2
34,148,2
0,162,2
66,120,2
9,37,2
19,10,2
58,94,2
145,34,2
36,1,2
7,52,2
173,1,2
9,26,2
9,29,2
148,34,2
7,83,2
36,52,2
9,102,2
7,40,1
153,114,1
137,1,1
27,98,1
13,60,1
111,111,1
303,51,1
106,1,1
129,1,1
81,347,1
326,104,1
132,270,1
104,1,1
135,142,1
0,36,1
43,26,1
18,207,1
15,58,1
235,1,1
314,18,1
7,15,1
18,276,1
139,15,1
312,1,1
15,153,1
237,190,1
143,143,1
212,376,1
195,94,1
7,383,1
38,33,1
278,40,1
81,1,1
170,150,1
175,21,1
71,62,1
255,16,1
168,96,1
331,16,1
263,18,1
7,78,1
40,40,1
7,249,1
222,137,1
157,64,1
0,316,1
194,1,1
89,1,1
49,27,1
7,244,1
133,61,1
293,1,1
0,198,1
19,37,1
304,146,1
20,243,1
56,19,1
94,58,1
23,1,1
0,355,1
98,292,1
9,10,1
7,133,1
71,80,1
339,1,1
18,200,1
130,130,1
